LeftChunk,LeftChunkHash,RightChunk,RightChunkHash,ChunkCount
when,1,c#,15,4
when,1,html,31,1
when,1,css,32,1
when,1,code,44,1
when,1,c,46,1
when,1,.net,73,2
when,1,linq,119,2
when,1,mysql,130,1
when,1,database,132,1
when,1,performance,140,1
when,1,language-agnostic,142,3
when,1,unix,143,1
when,1,php,148,1
when,1,sql,190,1
when,1,sql-server,193,2
when,1,types,251,1
when,1,ruby,277,3
when,1,linux,337,2
when,1,asp.net,386,4
when,1,oop,419,1
when,1,implementation,615,1
when,1,forms,648,1
when,1,visual-studio,698,1
when,1,security,742,1
when,1,python,772,1
when,1,email,810,1
when,1,vb6,856,1
when,1,com,902,1
when,1,windows-mobile,917,1
when,1,ruby-on-rails,941,1
when,1,http,943,1
when,1,crash,1020,1
when,1,testing,1066,1
when,1,compiz,1211,1
when,1,metacity,1215,1
when,1,productivity,1290,1
when,1,embedded,1317,2
when,1,javascript,1520,1
when,1,xslt,1538,1
when,1,viewstate,1723,1
when,1,safari,1961,1
when,1,regex,1985,1
when,1,orm,2191,1
when,1,validation,2229,1
when,1,bash,2475,1
when,1,shell,2477,1
when,1,winapi,2776,1
when,1,ergonomics,2856,1
when,1,mvc,2879,2
when,1,asp.net-mvc,2886,2
when,1,linq-to-sql,2911,2
when,1,asp.net-ajax,3477,1
when,1,computer-science,4603,1
when,1,recursion,4655,1
when,1,sharepoint,4796,1
when,1,xhtml,5294,1
when,1,workflow,5563,1
when,1,mocking,6442,1
when,1,breaks,6715,1
when,1,mental-health,6716,1
when,1,confirm,7207,1
when,1,compact-framework,9900,1
when,1,corecon,9946,1
when,1,decisions,10194,1
when,1,cross-browser,10209,1
when,1,w3c,11464,1
setting,2,c#,15,2
setting,2,html,31,1
setting,2,css,32,1
setting,2,.net,73,1
setting,2,vb.net,203,1
setting,2,memory,354,1
setting,2,windows,366,1
setting,2,ide,908,1
setting,2,tools,1029,1
setting,2,continuous-integration,1030,1
setting,2,registry,1457,1
setting,2,settings,1458,1
setting,2,erlang,4098,1
setting,2,memory-management,4237,1
setting,2,height,7382,1
setting,2,ini,9492,1
setting,2,configuration-files,9503,1
a,3,c#,15,47
a,3,html,31,9
a,3,css,32,5
a,3,code,44,1
a,3,c,46,5
a,3,j#,51,1
a,3,datetime,64,1
a,3,time,70,1
a,3,.net,73,37
a,3,web,81,10
a,3,user,82,1
a,3,browser,88,4
a,3,timezone,90,1
a,3,math,107,3
a,3,datatable,116,1
