"1","4","when","title"
"2","4","setting","title"
"3","4","a","title"
"4","4","form","title"
"5","4","'s","title"
"6","4","opacity","title"
"7","4","should","title"
"8","4","i","title"
"9","4","use","title"
"10","4","a","title"
"11","4","decimal","title"
"12","4","or","title"
"13","4","double","title"
"14","4","?","title"
"15","4","i","body"
"16","4","'m","body"
"17","4","new","body"
"18","4","to","body"
"19","4","c","body"
"20","4","#","body"
"21","4",",","body"
"22","4","and","body"
"23","4","i","body"
"24","4","want","body"
"25","4","to","body"
"26","4","use","body"
"27","4","a","body"
"28","4","track-bar","body"
"29","4","to","body"
"30","4","change","body"
"31","4","a","body"
"32","4","form","body"
"33","4","'s","body"
"34","4","opacity","body"
"35","4",".","body"
"36","4","this","body"
"37","4","is","body"
"38","4","my","body"
"39","4","code","body"
"40","4",":","body"
"41","4","decimal","body"
"42","4","trans","body"
"43","4","=","body"
"44","4","trackbar1.value","body"
"45","4","/","body"
"46","4","5000","body"
"47","4","this.opacity","body"
"48","4","=","body"
"49","4","trans","body"
"50","4","when","body"
"51","4","i","body"
"52","4","try","body"
"53","4","to","body"
"54","4","build","body"
"55","4","it","body"
"56","4",",","body"
"57","4","i","body"
"58","4","get","body"
"59","4","this","body"
"60","4","error","body"
"61","4",":","body"
"62","4","can","body"
"63","4","not","body"
"64","4","implicitly","body"
"65","4","convert","body"
"66","4","type","body"
"67","4","'decimal","body"
"68","4","'","body"
"69","4","to","body"
"70","4","'double'","body"
"71","4","i","body"
"72","4","tried","body"
"73","4","making","body"
"74","4","trans","body"
"75","4","a","body"
"76","4","double","body"
"77","4",",","body"
"78","4","but","body"
"79","4","then","body"
"80","4","the","body"
"81","4","control","body"
"82","4","doe","body"
"83","4","n't","body"
"84","4","work","body"
"85","4",".","body"
"86","4","this","body"
"87","4","code","body"
"88","4","worked","body"
"89","4","fine","body"
"90","4","for","body"
"91","4","me","body"
"92","4","in","body"
"93","4","vb.net","body"
"94","4",".","body"
"95","4","what","body"
"96","4","do","body"
"97","4","i","body"
"98","4","need","body"
"99","4","to","body"
"100","4","do","body"
"101","4","differently","body"
"102","4","?","body"
"103","4","c#","tag"
"104","6","why","title"
"105","6","doe","title"
"106","6","n't","title"
"107","6","the","title"
"108","6","percentage","title"
"109","6","width","title"
"110","6","child","title"
"111","6","in","title"
"112","6","absolutely","title"
"113","6","positioned","title"
"114","6","parent","title"
"115","6","work","title"
"116","6","in","title"
"117","6","ie7","title"
